MLSNum,HouseStatus,StatusChangeTimestamp,PropType,ListPrice,ClosePrice,Address,City,Acres,SqFtTotal,SqFtEstHeatedAboveGrade,StyleorRentType,RoomsTotal,BedsTotal,Bathrooms,GaragePark,YearBuilt,DaysonMarket,AgentID,listingagent,PhoneNumber,Email,Year,Year_Month,Day_of_Week
170512547,CLSD,2022-09-07,SF,329900,360100.0,99 Knollwood Rd,West Hartford,0.34,1644,1284,Ranch,5,3,1.5,2 Car/Attached Garage,1951,2,4,Carl A Lantz,8604321236,carlalantz@example.com,2022,2022-09,Wednesday
170529349,CLSD,2022-11-12,SF,389900,415000.0,16 Winterset Ln,West Hartford,0.32,1627,1627,Colonial,7,3,1.5,1 Car/Attached Garage,1958,2,4,Carl A Lantz,8604321236,carlalantz@example.com,2022,2022-11,Saturday
170491011,CLSD,2022-07-02,SF,375000,370000.0,24 Sunset Ter,Farmington,0.38,1367,1367,Ranch,5,3,1.5,2 Car/Attached Garage,1982,5,5,Greg Frey,4759644806,gregfrey@example.com,2022,2022-07,Saturday
170496742,CLSD,2022-08-02,SF,539000,529000.0,269 Arch Rd,Avon,2.2,1827,1827,Ranch,6,3,2.0,"2 Car/Attached Garage, Barn",1951,16,5,Greg Frey,4759644806,gregfrey@example.com,2022,2022-08,Tuesday
170511956,CLSD,2022-08-29,SF,379000,365000.0,34 Orchard St,Avon,0.91,1582,1582,Ranch,7,3,2.0,1 Car/Attached Garage,1959,6,5,Greg Frey,4759644806,gregfrey@example.com,2022,2022-08,Monday
170488681,CLSD,2022-06-10,SF,279900,315000.0,15 Jeffrey Dr,Farmington,0.51,1658,1202,Split Level,7,3,2.0,1 Car/Attached Garage,1960,6,6,Ellen Seifts,4751030891,ellenseifts@example.com,2022,2022-06,Friday
170508455,CLSD,2022-08-26,SF,375000,380000.0,11 Matthew Ct,Avon,0.12,1729,1346,Cape Cod,6,3,2.0,1 Car/Attached Garage,1998,4,6,Ellen Seifts,4751030891,ellenseifts@example.com,2022,2022-08,Friday
170472360,CLSD,2022-05-06,SF,349900,350000.0,7 School St,Avon,0.5,1625,1625,"Colonial, Farm House",7,3,1.5,5 Car/Barn,1870,19,7,Penny Woodford,2031190745,pennywoodford@example.com,2022,2022-05,Friday
170482060,CLSD,2022-05-26,SF,349900,375000.0,380 Lovely St,Avon,1.75,1789,1789,Ranch,8,3,2.0,2 Car/Under House Garage,1940,7,7,Penny Woodford,2031190745,pennywoodford@example.com,2022,2022-05,Thursday
170521290,CLSD,2022-10-19,SF,389900,407500.0,28 Blueberry Ln,Avon,0.9,1688,1688,Cape Cod,7,3,2.0,2 Car/Attached Garage,1959,3,7,Penny Woodford,2031190745,pennywoodford@example.com,2022,2022-10,Wednesday
170465780,CLSD,2022-04-29,SF,399000,449000.0,19 Woodside Dr,Farmington,0.35,2108,2108,"Cape Cod, Colonial",8,3,1.5,"2 Car/Attached Garage, Paved",1987,2,8,Lisa A Ogren,8602629120,lisaaogren@example.com,2022,2022-04,Friday
170475326,CLSD,2022-06-29,SF,425000,425000.0,291 Auburn Rd,West Hartford,0.21,1693,1493,Colonial,6,3,1.5,"2 Car/Detached Garage, Paved",1938,9,8,Lisa A Ogren,8602629120,lisaaogren@example.com,2022,2022-06,Wednesday
170498759,CLSD,2022-08-01,SF,325000,350000.0,297 Reservoir Rd,Newington,0.24,1080,1080,Ranch,5,3,1.5,"1 Car/Attached Garage, Paved, Off Street Parking",1954,4,8,Lisa A Ogren,8602629120,lisaaogren@example.com,2022,2022-08,Monday
170506448,CLSD,2022-08-16,SF,324900,335000.0,353 Forest St,East Hartford,0.44,2129,2129,Cape Cod,7,3,2.0,"2 Car/Attached Garage, Paved",1951,3,8,Lisa A Ogren,8602629120,lisaaogren@example.com,2022,2022-08,Tuesday
170468625,CLSD,2022-04-08,SF,649900,850000.0,42 Brunswick Ave,West Hartford,0.19,2281,1881,Colonial,9,3,1.5,2 Car/Detached Garage,1927,2,9,Evan L Berman,9590048141,evanlberman@example.com,2022,2022-04,Friday
